################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0288360055589508E-01 a       324     0    17     1     4
 -2.6298474623122132E+01 a       325     0    17     1     5
 -2.5727723361382871E+01 a       326     0    17     1     6
  3.1302284382101089E+01 a       327     0    17     1     7
 -6.6484186135879346E+00 a       328     0    17     1     8
  3.2090872256398235E+01 a       329     0    17     1     9
  4.6060195582662073E+00 a       330     0    17     1    10
  1.1354829254627855E+01 a       331     0    17     1    11
 -1.8596653168544545E+01 a       332     0    17     1    12
  1.6834169692645364E+01 a       333     0    17     1    13
  2.2220159265084467E+00 a       334     0    17     1    14
 -4.5890227119946815E+01 a       335     0    17     1    15
 -2.1538556845860203E+01 a       336     0    17     1    16
  1.2879995202172768E+01 a       337     0    17     1    17
 -5.9442033311591569E+00 a       338     0    17     1    18
 -3.8117202279700368E+00 a       339     0    17     1    19
  1.3343497101413403E+01 a       340     0    17     1    20
 -1.1864942520307748E+01 a       341     0    18     1     1
 -6.1830119992156774E+01 a       342     0    18     1     2
 -1.9204248203400198E+01 a       343     0    18     1     3
  1.0547532964207166E+01 a       344     0    18     1     4
 -2.6044278886113297E+01 a       345     0    18     1     5
 -2.0666004668966885E+01 a       346     0    18     1     6
 -1.6227919657242342E+01 a       347     0    18     1     7
  7.8859684190209534E-01 a       348     0    18     1     8
 -5.6415020447662592E+00 a       349     0    18     1     9
  4.1490362961018981E+01 a       350     0    18     1    10
 -5.2813314478625317E-01 a       351     0    18     1    11
  3.4942180542725296E+00 a       352     0    18     1    12
 -5.5785101319328252E+00 a       353     0    18     1    13
  1.2867760514729991E+01 a       354     0    18     1    14
 -1.0142567767433148E+01 a       355     0    18     1    15
 -2.1698764426738911E+01 a       356     0    18     1    16
 -2.8387457710017141E+01 a       357     0    18     1    17
  2.7253611587480439E+01 a       358     0    18     1    18
