################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9340914292454615E-01 a       246     0    13     1     6
 -6.8890967147912301E+00 a       247     0    13     1     7
 -2.3743667513718382E+01 a       248     0    13     1     8
  1.2896259240174388E+01 a       249     0    13     1     9
 -1.4264862605150082E+01 a       250     0    13     1    10
  3.0754742336775191E+01 a       251     0    13     1    11
  1.5461039950245944E+01 a       252     0    13     1    12
  6.4885531690573091E+00 a       253     0    13     1    13
  1.9355639098255434E+01 a       254     0    13     1    14
 -8.1480297615149340E+00 a       255     0    13     1    15
  2.3929706801795469E+01 a       256     0    13     1    16
  1.1333405577051453E+01 a       257     0    13     1    17
 -5.3033313401654016E+00 a       258     0    13     1    18
 -2.2201704482930868E+01 a       259     0    13     1    19
  1.0719683357118450E+00 a       260     0    13     1    20
 -5.0145491171269374E-01 a       261     0    14     1     1
  1.5255220244256645E-01 a       262     0    14     1     2
  7.1402962585112082E+00 a       263     0    14     1     3
  2.6860166747313752E-01 a       264     0    14     1     4
  2.9171844415445869E-01 a       265     0    14     1     5
 -5.9858748520511593E+00 a       266     0    14     1     6
  1.4807933978915166E+01 a       267     0    14     1     7
  6.8720166613641904E+00 a       268     0    14     1     8
  3.1928837992352341E+00 a       269     0    14     1     9
  3.9938649235069437E+00 a       270     0    14     1    10
  8.2346086758180306E+00 a       271     0    14     1    11
  9.7616322600775760E+00 a       272     0    14     1    12
  4.2849280905621887E+00 a       273     0    14     1    13
 -7.4570558666061073E+00 a       274     0    14     1    14
 -6.9779433619772924E+00 a       275     0    14     1    15
  1.9400584999761705E+00 a       276     0    14     1    16
  5.5824984901507575E+00 a       277     0    14     1    17
  2.3164109078507753E+00 a       278     0    14     1    18
  3.4792895557188936E+00 a       279     0    14     1    19
  5.2629741088476223E+00 a       280     0    14     1    20
  4.3641732507613415E+00 a       281     0    15     1     1
 -1.1601143586909339E+01 a       282     0    15     1     2
 -7.3992427363378885E+00 a       283     0    15     1     3
  4.5623408566675572E+00 a       284     0    15     1     4
  8.7062497810013539E+00 a       285     0    15     1     5
  4.4475585255534797E+00 a       286     0    15     1     6
  2.8437474861642462E+00 a       287     0    15     1     7
  2.8267081449148583E+00 a       288     0    15     1     8
  5.8012652784912158E+00 a       289     0    15     1     9
  7.5767034416788573E-02 a       290     0    15     1    10
  6.0623903272823423E+00 a       291     0    15     1    11
  4.2649976648762786E+00 a       292     0    15     1    12
  6.6134502413384997E+00 a       293     0    15     1    13
  1.1402459426279282E+01 a       294     0    15     1    14
 -1.0495132028616693E+01 a       295     0    15     1    15
 -6.5192278127404641E+00 a       296     0    15     1    16
 -8.8489673910878182E+00 a       297     0    15     1    17
  2.0051160037886689E+01 a       298     0    15     1    18
  9.9725432163090719E+00 a       299     0    15     1    19
  1.4823220297003280E+01 a       300     0    15     1    20
  2.1791867190537904E+00 a       301     0    16     1     1
 -3.6598219246181749E+00 a       302     0    16     1     2
  3.3932304935825131E-01 a       303     0    16     1     3
 -7.5855123087523857E-01 a       304     0    16     1     4
  7.4134394916395585E-01 a       305     0    16     1     5
 -1.2834133143798052E+00 a       306     0    16     1     6
  1.7167749294695427E+00 a       307     0    16     1     7
  1.2709018605856335E+00 a       308     0    16     1     8
  1.5156213138330172E+00 a       309     0    16     1     9
 -1.7421700328937078E+00 a       310     0    16     1    10
  1.2676464959858152E-01 a       311     0    16     1    11
 -1.9263329184636735E+00 a       312     0    16     1    12
  1.2234303439835353E-01 a       313     0    16     1    13
  1.1602622354411136E+00 a       314     0    16     1    14
 -8.6410100797950784E-01 a       315     0    16     1    15
  1.8573134314114592E-01 a       316     0    16     1    16
  2.9506785438157772E+00 a       317     0    16     1    17
  7.1792425180042159E+00 a       318     0    16     1    18
  2.7716489920505465E+00 a       319     0    16     1    19
  3.9163820508680763E-01 a       320     0    16     1    20
  1.0223653829922723E+01 a       321     0    17     1     1
 -2.6149545144519781E+01 a       322     0    17     1     2
  7.7870747242849374E+00 a       323     0    17     1     3
 -1.5455629415716949E+01 a       324     0    17     1     4
  5.9120109948337403E+00 a       325     0    17     1     5
  1.3233691601727344E+01 a       326     0    17     1     6
  8.4529792010185130E+00 a       327     0    17     1     7
  1.0929694185521448E+01 a       328     0    17     1     8
  1.9726146876842978E+00 a       329     0    17     1     9
  5.7940922092860481E+00 a       330     0    17     1    10
 -7.5808056052177797E+00 a       331     0    17     1    11
 -1.6928190892582847E+01 a       332     0    17     1    12
  9.8630469078033052E+00 a       333     0    17     1    13
  1.5070529778727282E+00 a       334     0    17     1    14
 -4.5949022513041786E+00 a       335     0    17     1    15
 -2.6233897661388927E+01 a       336     0    17     1    16
 -5.8799766879890765E+00 a       337     0    17     1    17
  2.0976445383720659E+01 a       338     0    17     1    18
  6.7008839901068198E+00 a       339     0    17     1    19
 -7.1021068174704505E-01 a       340     0    17     1    20
  4.1197672176365714E+00 a       341     0    18     1     1
 -8.9864965915087716E+00 a       342     0    18     1     2
 -4.2768902941539917E+00 a       343     0    18     1     3
 -2.9947380582223690E+00 a       344     0    18     1     4
  1.5325804972663852E+00 a       345     0    18     1     5
  2.1333512520477074E-02 a       346     0    18     1     6
 -5.8979897048455650E+00 a       347     0    18     1     7
 -2.5152518672601278E+00 a       348     0    18     1     8
  2.2559133639615521E+00 a       349     0    18     1     9
  2.1437693026806484E+00 a       350     0    18     1    10
 -6.6416019998639109E-01 a       351     0    18     1    11
 -8.8022509587305837E+00 a       352     0    18     1    12
  5.8309511178077491E+00 a       353     0    18     1    13
  3.1189724551999700E+00 a       354     0    18     1    14
  3.1848635706326265E+00 a       355     0    18     1    15
 -8.7172855646561753E-01 a       356     0    18     1    16
  6.7914545423183750E+00 a       357     0    18     1    17
  1.5993371631116881E+01 a       358     0    18     1    18
  2.5237828749171367E+00 a       359     0    18     1    19
 -8.8935916747971566E-01 a       360     0    18     1    20
 -4.8030974131404385E+00 a       361     0    19     1     1
  2.6506483149284614E+00 a       362     0    19     1     2
 -3.2623234681919966E+00 a       363     0    19     1     3
  9.0167573364393192E+00 a       364     0    19     1     4
  1.7990020191399139E+00 a       365     0    19     1     5
 -4.5061526070577846E+00 a       366     0    19     1     6
 -2.0370617340612021E+00 a       367     0    19     1     7
  1.0024293269975402E+01 a       368     0    19     1     8
 -6.9010506500956810E+00 a       369     0    19     1     9
 -7.7622359541404340E-01 a       370     0    19     1    10
  1.8132350600212364E+00 a       371     0    19     1    11
  9.2589434334069320E+00 a       372     0    19     1    12
 -6.9338914743930697E+00 a       373     0    19     1    13
  5.2214504344099621E+00 a       374     0    19     1    14
 -2.8222512507596562E+00 a       375     0    19     1    15
  9.1220063790321042E+00 a       376     0    19     1    16
 -8.4542266348571804E+00 a       377     0    19     1    17
 -4.1900253555540679E-01 a       378     0    19     1    18
  7.9109219884192825E+00 a       379     0    19     1    19
  1.0862445286455344E+01 a       380     0    19     1    20
  2.5593442794929405E-01 a       381     0    20     1     1
 -1.8694774411151767E+00 a       382     0    20     1     2
  1.8788601627674277E+00 a       383     0    20     1     3
  4.2402903080786192E-01 a       384     0    20     1     4
  4.9053867508673310E-01 a       385     0    20     1     5
 -9.8518890002729553E-01 a       386     0    20     1     6
  4.9102610653370053E+00 a       387     0    20     1     7
  3.6783119688252572E+00 a       388     0    20     1     8
  9.7797515388722200E-01 a       389     0    20     1     9
 -4.2192024257196836E+00 a       390     0    20     1    10
  2.1768462362074861E-01 a       391     0    20     1    11
  3.4307046909884993E+00 a       392     0    20     1    12
  2.6967379725390839E-01 a       393     0    20     1    13
 -8.8879703642494645E-01 a       394     0    20     1    14
 -1.6980313590451188E+00 a       395     0    20     1    15
 -9.3373811321677842E-03 a       396     0    20     1    16
  1.5816252579157044E+00 a       397     0    20     1    17
  2.7831604180940084E+00 a       398     0    20     1    18
  1.4587556655385101E+00 a       399     0    20     1    19
  6.6057077204594028E-02 a       400     0    20     1    20
 -1.3583577726520907E-01 a       401     0    21     1     1
 -2.9821020371176914E+00 a       402     0    21     1     2
 -2.2742345065690964E-01 a       403     0    21     1     3
 -4.9910655219743925E+00 a       404     0    21     1     4
  4.0408063059508997E-01 a       405     0    21     1     5
  1.2503533762476177E-01 a       406     0    21     1     6
  1.7086073372685975E+00 a       407     0    21     1     7
 -5.1992202643282921E+00 a       408     0    21     1     8
  4.4152071359462166E+00 a       409     0    21     1     9
  1.2768760878079046E+00 a       410     0    21     1    10
  1.3717358011802190E+00 a       411     0    21     1    11
 -9.0003102641936683E-01 a       412     0    21     1    12
  4.4972135222601857E+00 a       413     0    21     1    13
 -2.3489068769555743E+00 a       414     0    21     1    14
  9.5599234121910137E-01 a       415     0    21     1    15
 -5.2998637131617334E+00 a       416     0    21     1    16
  2.1270355582222358E+00 a       417     0    21     1    17
  1.4980985616083846E+00 a       418     0    21     1    18
 -3.3813382008701360E+00 a       419     0    21     1    19
 -3.0470062630634569E+00 a       420     0    21     1    20
 -5.0852680956324148E-01 a       421     0    22     1     1
  1.1127753336554945E-01 a       422     0    22     1     2
 -7.0362130176379323E-01 a       423     0    22     1     3
 -1.7029084496862973E-01 a       424     0    22     1     4
  5.4332478701758269E-01 a       425     0    22     1     5
  4.0807452036131386E-01 a       426     0    22     1     6
 -1.9436148215887146E+00 a       427     0    22     1     7
 -6.5826728664228640E-01 a       428     0    22     1     8
  5.1532856755589995E-01 a       429     0    22     1     9
  2.3602632232785927E+00 a       430     0    22     1    10
  3.1308749501378402E-01 a       431     0    22     1    11
 -6.1512136228575864E-01 a       432     0    22     1    12
  1.8408434660580348E+00 a       433     0    22     1    13
 -1.3781134014033505E+00 a       434     0    22     1    14
  6.4194866373504900E-01 a       435     0    22     1    15
 -1.4665876719417054E-01 a       436     0    22     1    16
  5.8936698039339486E-01 a       437     0    22     1    17
  1.8291446291356592E-01 a       438     0    22     1    18
  2.6592897909819710E-02 a       439     0    22     1    19
  8.4629701777993699E-02 a       440     0    22     1    20
  5.8520123234803334E+00 a       441     0    23     1     1
 -1.5288301153083140E+01 a       442     0    23     1     2
 -2.3495283970317473E+01 a       443     0    23     1     3
 -4.9730945801693849E-01 a       444     0    23     1     4
 -2.5585093462085595E+01 a       445     0    23     1     5
 -9.0159636452011913E+00 a       446     0    23     1     6
 -1.2414631267500491E+01 a       447     0    23     1     7
  1.5216006827017555E+01 a       448     0    23     1     8
 -4.4035610298615033E+00 a       449     0    23     1     9
 -1.8108956760801338E+01 a       450     0    23     1    10
  2.2952032259536931E+01 a       451     0    23     1    11
 -1.1362699994343419E+01 a       452     0    23     1    12
 -1.8174264966503209E+01 a       453     0    23     1    13
 -3.4079449230393171E+00 a       454     0    23     1    14
 -1.1808021408915168E+01 a       455     0    23     1    15
  3.0379536397876792E+00 a       456     0    23     1    16
 -1.5098517728204477E+01 a       457     0    23     1    17
  8.9428589027981236E+00 a       458     0    23     1    18
  4.1087499827849477E+01 a       459     0    23     1    19
  4.7576754396943803E+00 a       460     0    23     1    20
 -2.6600465860441247E+00 a       461     0    24     1     1
 -9.1359156564989732E+00 a       462     0    24     1     2
 -8.5852670661476704E+00 a       463     0    24     1     3
  1.3011947868780089E+00 a       464     0    24     1     4
  9.9199073304076908E+00 a       465     0    24     1     5
 -5.9125515121800607E+00 a       466     0    24     1     6
  5.2538506362681456E+00 a       467     0    24     1     7
  1.5736085535466262E+00 a       468     0    24     1     8
 -2.9540321818560007E+00 a       469     0    24     1     9
 -1.5781828731115992E+00 a       470     0    24     1    10
 -2.0151848019805724E-01 a       471     0    24     1    11
 -4.4525695210784981E+00 a       472     0    24     1    12
  2.0109265910946217E+00 a       473     0    24     1    13
  2.9365172987724781E+00 a       474     0    24     1    14
 -1.0318843296269048E+01 a       475     0    24     1    15
 -2.2420793338076237E+00 a       476     0    24     1    16
  1.4484467850258630E+01 a       477     0    24     1    17
 -9.3140259974131689E-01 a       478     0    24     1    18
  1.2706469619862034E+01 a       479     0    24     1    19
  3.9914677385991699E+00 a       480     0    24     1    20
 -1.7225015534240349E+00 a       481     0    25     1     1
  1.5261151874823884E+00 a       482     0    25     1     2
  4.2206729874395027E-01 a       483     0    25     1     3
 -2.3163150050661185E+00 a       484     0    25     1     4
  3.3879497447926492E+00 a       485     0    25     1     5
  1.5122483530885390E+01 a       486     0    25     1     6
 -1.8168888712306508E+01 a       487     0    25     1     7
  6.7666755012626325E+00 a       488     0    25     1     8
  2.7973546887840812E+00 a       489     0    25     1     9
  4.4977228127680693E+00 a       490     0    25     1    10
  1.2412996563489131E+00 a       491     0    25     1    11
 -1.3010767039998090E+01 a       492     0    25     1    12
  1.1898709035159706E+01 a       493     0    25     1    13
  1.9698647282434389E+00 a       494     0    25     1    14
 -1.2596966775518637E+00 a       495     0    25     1    15
 -6.1577161967354410E-01 a       496     0    25     1    16
 -1.6597924706975307E+00 a       497     0    25     1    17
  1.8129858516410322E+00 a       498     0    25     1    18
 -4.0755553955937804E+00 a       499     0    25     1    19
  5.3994655330097041E+00 a       500     0    25     1    20
  4.0267124719212424E+00 a       501     0    26     1     1
 -1.8759138698628317E+00 a       502     0    26     1     2
  1.7168492547544915E+01 a       503     0    26     1     3
 -6.9115801825239593E+00 a       504     0    26     1     4
 -1.2551124664903961E+01 a       505     0    26     1     5
 -2.5921029870912660E-01 a       506     0    26     1     6
 -8.8912909637013904E+00 a       507     0    26     1     7
  1.1444368698263309E+01 a       508     0    26     1     8
 -3.7937324830319585E-01 a       509     0    26     1     9
 -1.7568550588334835E+00 a       510     0    26     1    10
  1.2987085210703951E+01 a       511     0    26     1    11
  2.1969258247453904E+00 a       512     0    26     1    12
