################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.1920891792397370E+00 a       384     0    20     1     4
  5.4711339940661818E-01 a       385     0    20     1     5
 -4.8845298730376374E+00 a       386     0    20     1     6
  4.3061412750954933E+00 a       387     0    20     1     7
 -1.9090668870719874E+00 a       388     0    20     1     8
 -3.4459558290589301E+00 a       389     0    20     1     9
  1.8159163090488164E+00 a       390     0    20     1    10
  1.3137665965034472E+01 a       391     0    20     1    11
 -1.0727174466735914E+01 a       392     0    20     1    12
  2.3267672289497439E+00 a       393     0    20     1    13
  1.6675966492746015E+00 a       394     0    20     1    14
 -4.6191245462878179E+00 a       395     0    20     1    15
  5.0969891778119081E+00 a       396     0    20     1    16
  5.8056660086339038E+00 a       397     0    20     1    17
  1.6399404546769227E+00 a       398     0    20     1    18
  8.7251107467909694E-01 a       399     0    20     1    19
  3.4816776754976497E+00 a       400     0    20     1    20
  9.5019395066758872E-01 a       401     0    21     1     1
  2.0895653542262118E+00 a       402     0    21     1     2
 -7.4515336813954498E+00 a       403     0    21     1     3
 -9.1746648043124939E+00 a       404     0    21     1     4
  1.4811797833558138E-01 a       405     0    21     1     5
  5.3626851867553134E+00 a       406     0    21     1     6
  2.0790295864515826E+00 a       407     0    21     1     7
  2.2261713062310742E+00 a       408     0    21     1     8
  8.8336053166780881E-01 a       409     0    21     1     9
  4.2640124947504487E+00 a       410     0    21     1    10
 -1.3307221769365298E+00 a       411     0    21     1    11
 -2.5543477398257810E+00 a       412     0    21     1    12
 -6.5544515866590940E+00 a       413     0    21     1    13
  7.4384993831650839E+00 a       414     0    21     1    14
  2.9095374681313085E-01 a       415     0    21     1    15
  1.9380185697540815E+00 a       416     0    21     1    16
 -6.0473169029338365E+00 a       417     0    21     1    17
  2.7972233732848255E+00 a       418     0    21     1    18
 -3.7495591359554021E+00 a       419     0    21     1    19
  4.2527612351865844E+00 a       420     0    21     1    20
  1.2823365333625950E-01 a       421     0    22     1     1
 -9.3578827996537373E-01 a       422     0    22     1     2
 -8.0312797011263770E-01 a       423     0    22     1     3
  3.2793335154612846E-01 a       424     0    22     1     4
  6.5083618542355737E-01 a       425     0    22     1     5
 -6.8668422158258169E-01 a       426     0    22     1     6
  1.5888519589794796E+00 a       427     0    22     1     7
 -8.4312492290116647E-01 a       428     0    22     1     8
  3.1242363172275300E-01 a       429     0    22     1     9
  3.7889166932455293E-01 a       430     0    22     1    10
  4.2048104658906627E-01 a       431     0    22     1    11
 -2.1712855349555178E+00 a       432     0    22     1    12
  3.8000755278651244E-01 a       433     0    22     1    13
  1.2395135613142736E+00 a       434     0    22     1    14
 -8.0162062832571113E-01 a       435     0    22     1    15
  4.5176851991944178E-01 a       436     0    22     1    16
 -3.1996598794816011E-01 a       437     0    22     1    17
  3.7618213034699716E-01 a       438     0    22     1    18
  1.0687323819914256E-01 a       439     0    22     1    19
