################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -9.1647591049150439E+00 a       214     0    11     1    14
  8.3222551705794636E+00 a       215     0    11     1    15
 -3.6560909459808331E+00 a       216     0    11     1    16
  1.7767952191572520E+00 a       217     0    11     1    17
 -2.8503400819294051E+00 a       218     0    11     1    18
  2.3147142247412327E+00 a       219     0    11     1    19
  1.1169998123033857E-01 a       220     0    11     1    20
 -5.3207392959834996E+00 a       221     0    12     1     1
 -2.5649874511699822E+00 a       222     0    12     1     2
 -5.1644667248423994E+00 a       223     0    12     1     3
 -1.2020132075870364E+00 a       224     0    12     1     4
  2.5277844868482116E+00 a       225     0    12     1     5
 -1.9253325154356751E+00 a       226     0    12     1     6
 -2.0207074950139448E+00 a       227     0    12     1     7
 -7.8730421681414600E-02 a       228     0    12     1     8
 -6.5983751550269953E-01 a       229     0    12     1     9
  1.2927588712317921E+00 a       230     0    12     1    10
  2.9423898048390154E+00 a       231     0    12     1    11
  5.7748909685249536E+00 a       232     0    12     1    12
  3.6738156721557380E-01 a       233     0    12     1    13
 -9.0198853084956865E-01 a       234     0    12     1    14
  2.2718983393042800E+00 a       235     0    12     1    15
 -4.4301250705713304E+00 a       236     0    12     1    16
 -2.9841902794856199E+00 a       237     0    12     1    17
  8.1544156477181828E-01 a       238     0    12     1    18
 -1.4051788796130540E+00 a       239     0    12     1    19
  3.6610692240600686E+00 a       240     0    12     1    20
 -6.4072945223291955E-01 a       241     0    13     1     1
 -6.8452766869803341E+00 a       242     0    13     1     2
  1.4310512474602826E+00 a       243     0    13     1     3
 -7.8374762807386729E+00 a       244     0    13     1     4
 -5.1822229741148105E+00 a       245     0    13     1     5
 -4.9188729706407619E+00 a       246     0    13     1     6
  4.1025180507950765E+00 a       247     0    13     1     7
  8.4262016404860596E-01 a       248     0    13     1     8
 -4.3783417897840335E+00 a       249     0    13     1     9
 -4.0157086726912556E+00 a       250     0    13     1    10
 -3.3527899769813279E+00 a       251     0    13     1    11
 -8.7472591746969819E-01 a       252     0    13     1    12
 -1.0620719655736556E-01 a       253     0    13     1    13
 -2.6639447784904440E+00 a       254     0    13     1    14
 -1.3465198769674009E+01 a       255     0    13     1    15
 -7.4641942547636297E-01 a       256     0    13     1    16
  2.1481317396363249E+00 a       257     0    13     1    17
  8.0460616074102358E+00 a       258     0    13     1    18
 -3.9156238631195213E+00 a       259     0    13     1    19
  1.8786036944139426E+00 a       260     0    13     1    20
  7.3160570502610511E+00 a       261     0    14     1     1
  2.0556128045337467E+00 a       262     0    14     1     2
  6.5922787758941084E+00 a       263     0    14     1     3
  3.7898258934331874E-01 a       264     0    14     1     4
 -5.2948981688069372E+00 a       265     0    14     1     5
  3.0756220620342387E+00 a       266     0    14     1     6
  5.5284146803452199E+00 a       267     0    14     1     7
  1.6326836800610927E+00 a       268     0    14     1     8
  5.8687260409100217E-01 a       269     0    14     1     9
 -7.2184773995307143E+00 a       270     0    14     1    10
 -1.9263479475932030E+00 a       271     0    14     1    11
 -9.3051361259341885E+00 a       272     0    14     1    12
  1.4557525687035866E+00 a       273     0    14     1    13
  4.6819064626681453E+00 a       274     0    14     1    14
 -1.0273777005232006E+01 a       275     0    14     1    15
  1.6641917026806990E+01 a       276     0    14     1    16
  9.4986315364711551E+00 a       277     0    14     1    17
 -6.4256016735304655E+00 a       278     0    14     1    18
  1.9157252066522841E+00 a       279     0    14     1    19
 -3.1854671568951658E+00 a       280     0    14     1    20
  9.6618846661791824E-01 a       281     0    15     1     1
  2.4571247810434422E+00 a       282     0    15     1     2
  1.2907053095736991E+00 a       283     0    15     1     3
 -1.3449610433655395E+00 a       284     0    15     1     4
 -6.9309523896110103E-01 a       285     0    15     1     5
 -2.4180761674023121E+00 a       286     0    15     1     6
  3.3512910813463708E+00 a       287     0    15     1     7
 -1.9155999661880334E+00 a       288     0    15     1     8
  2.8159073928541831E+00 a       289     0    15     1     9
 -4.0319594590678891E+00 a       290     0    15     1    10
 -5.2084385527659203E+00 a       291     0    15     1    11
 -5.3263238535594146E+00 a       292     0    15     1    12
  4.1718704859710565E+00 a       293     0    15     1    13
  4.1926454569390268E+00 a       294     0    15     1    14
 -2.1313879761062449E+00 a       295     0    15     1    15
  1.8946955381513348E+00 a       296     0    15     1    16
  1.3880164379933011E+00 a       297     0    15     1    17
  1.6960908502946712E+00 a       298     0    15     1    18
  3.0887386430364585E+00 a       299     0    15     1    19
  7.2227092604924581E-01 a       300     0    15     1    20
  5.2589605059675977E+00 a       301     0    16     1     1
  5.3859828639054328E+00 a       302     0    16     1     2
  5.5173639943192621E+00 a       303     0    16     1     3
  2.5221390122943128E-03 a       304     0    16     1     4
  7.1506336117691260E-01 a       305     0    16     1     5
 -1.0461588716058341E+00 a       306     0    16     1     6
  1.8162829486446548E+00 a       307     0    16     1     7
  3.0485760895406333E+00 a       308     0    16     1     8
  4.7900000997958692E-01 a       309     0    16     1     9
 -3.4873026998293555E-01 a       310     0    16     1    10
 -1.7999105208367339E+00 a       311     0    16     1    11
  5.3466379335376759E+00 a       312     0    16     1    12
 -3.8641393506175503E+00 a       313     0    16     1    13
  3.3478011595066568E+00 a       314     0    16     1    14
 -1.6796184453608336E+00 a       315     0    16     1    15
  2.0308210889831546E+00 a       316     0    16     1    16
  4.3552537350025472E-01 a       317     0    16     1    17
  3.2607330440911109E+00 a       318     0    16     1    18
  1.9448370009715275E+00 a       319     0    16     1    19
 -2.1898280828736874E+00 a       320     0    16     1    20
  1.0338520387257990E+01 a       321     0    17     1     1
 -2.5476643024676320E+00 a       322     0    17     1     2
  4.0111639848625176E+00 a       323     0    17     1     3
  4.9371446628058768E+00 a       324     0    17     1     4
  5.2567441206216721E+00 a       325     0    17     1     5
  6.0340430212223577E+00 a       326     0    17     1     6
 -1.4871620624209845E+01 a       327     0    17     1     7
  5.2490453390447405E+00 a       328     0    17     1     8
  3.5055213517485644E+00 a       329     0    17     1     9
  3.1489438666050731E+00 a       330     0    17     1    10
  4.6665441952785676E+00 a       331     0    17     1    11
  6.9259553523581383E+00 a       332     0    17     1    12
 -4.1814239528703370E+00 a       333     0    17     1    13
  1.0835764210538464E+01 a       334     0    17     1    14
  6.4342723710755267E+00 a       335     0    17     1    15
  3.7683729428537802E+00 a       336     0    17     1    16
  3.7026290953003542E+00 a       337     0    17     1    17
 -5.2208805602989896E+00 a       338     0    17     1    18
  9.8279597850872880E-01 a       339     0    17     1    19
  4.3874462930203739E+00 a       340     0    17     1    20
 -6.8554745911388597E+00 a       341     0    18     1     1
 -2.1720861426097193E+00 a       342     0    18     1     2
 -4.7095217425196321E+00 a       343     0    18     1     3
 -3.0678250690254694E+00 a       344     0    18     1     4
  3.4954798402449772E+00 a       345     0    18     1     5
  1.1964529750350765E+00 a       346     0    18     1     6
 -3.9216859937454758E+00 a       347     0    18     1     7
 -2.6536078223976580E+00 a       348     0    18     1     8
 -4.5714739827592316E-01 a       349     0    18     1     9
  1.8911298731621151E+00 a       350     0    18     1    10
  4.3682826236923464E+00 a       351     0    18     1    11
  4.9955720836836788E+00 a       352     0    18     1    12
  3.9352109733124652E-01 a       353     0    18     1    13
  4.2682819959188850E-01 a       354     0    18     1    14
  1.7666275142814720E+00 a       355     0    18     1    15
 -6.1384290616015340E+00 a       356     0    18     1    16
 -3.4018385912001325E+00 a       357     0    18     1    17
 -1.0766249034578717E+00 a       358     0    18     1    18
  2.0112940250952001E+00 a       359     0    18     1    19
  8.3054581074969462E+00 a       360     0    18     1    20
 -6.6353199404556413E+00 a       361     0    19     1     1
  2.0825319222336205E+00 a       362     0    19     1     2
 -6.5916240588820116E+00 a       363     0    19     1     3
 -1.6806659668523469E+00 a       364     0    19     1     4
  1.4551001348522974E-01 a       365     0    19     1     5
  2.6593173588167451E-01 a       366     0    19     1     6
  1.1237687451124465E+01 a       367     0    19     1     7
 -1.0297366251274557E+01 a       368     0    19     1     8
  3.9395901223757521E+00 a       369     0    19     1     9
  5.3830222287881507E-02 a       370     0    19     1    10
 -2.5768872842756023E+00 a       371     0    19     1    11
  3.2919606983200284E-01 a       372     0    19     1    12
  1.9112885071698462E+00 a       373     0    19     1    13
 -1.1844276630652055E+00 a       374     0    19     1    14
 -3.0666091527763317E+00 a       375     0    19     1    15
 -1.3355863867327569E+00 a       376     0    19     1    16
 -4.2897651257786134E+00 a       377     0    19     1    17
  1.3479725260869651E+00 a       378     0    19     1    18
  4.5454974782086319E+00 a       379     0    19     1    19
  1.7475736243507138E+00 a       380     0    19     1    20
  3.0274647239596808E-01 a       381     0    20     1     1
  7.7019456998222835E-01 a       382     0    20     1     2
 -2.1609952256775316E+00 a       383     0    20     1     3
 -1.1072034630735965E-01 a       384     0    20     1     4
 -2.8961134473976702E+00 a       385     0    20     1     5
  1.1278976738348510E+00 a       386     0    20     1     6
 -5.1860538847105775E-01 a       387     0    20     1     7
 -8.9162998804220361E-01 a       388     0    20     1     8
  1.7140887942884027E+00 a       389     0    20     1     9
  2.1556654758762139E+00 a       390     0    20     1    10
 -2.1397919935985239E-02 a       391     0    20     1    11
 -7.0848523579481579E+00 a       392     0    20     1    12
  2.8021274528308737E+00 a       393     0    20     1    13
 -1.8877376447983496E+00 a       394     0    20     1    14
  3.5547664801993611E-01 a       395     0    20     1    15
  3.1645723319697638E+00 a       396     0    20     1    16
  3.6312277768719516E+00 a       397     0    20     1    17
  1.2992281671834431E+00 a       398     0    20     1    18
 -7.9994971167281781E-01 a       399     0    20     1    19
 -2.0802712054374926E+00 a       400     0    20     1    20
  2.4492740920404352E+00 a       401     0    21     1     1
 -1.8377924596166304E+00 a       402     0    21     1     2
  2.0343143921473001E+00 a       403     0    21     1     3
  8.2652261372224356E-01 a       404     0    21     1     4
 -5.4272871927214050E-01 a       405     0    21     1     5
 -1.5847345297347231E+00 a       406     0    21     1     6
 -7.6036269845756888E+00 a       407     0    21     1     7
  5.3243917494213235E+00 a       408     0    21     1     8
 -4.9962960498744478E+00 a       409     0    21     1     9
  1.6889761148856601E+00 a       410     0    21     1    10
  4.1991571841979791E+00 a       411     0    21     1    11
  2.5720996772298057E+00 a       412     0    21     1    12
 -1.1541132986214022E+00 a       413     0    21     1    13
